artículo,pregunta 1,pregunta 2,pregunta 3,pregunta 4,pregunta 5,pregunta 6,pregunta 7,pregunta 8,pregunta 9,pregunta 10,pregunta 11,pregunta 12,pregunta 13,pregunta 14,pregunta 15,pregunta 16,pregunta 17
ARTÍCULO 11.,¿Qué derecho tienen todos los integrantes de la comunidad universitaria en la Universidad de Antioquia?,¿Qué implica la adecuada participación en la vida institucional de la Universidad?,¿Por qué es importante la participación activa en la vida institucional de la Universidad?,¿Qué libertades tienen los integrantes de la comunidad universitaria en la Universidad?,¿Por qué es importante la libertad de asociación en la Universidad?,¿Qué papel juega la libertad de expresión en la Universidad?,¿Por qué es importante el respeto en la vida institucional de la Universidad?,¿Qué beneficios aporta la libertad de asociación y de expresión en la Universidad?,¿Cómo contribuye la participación activa en la vida institucional al desarrollo de la Universidad?,¿Qué relación tiene la libertad de asociación y de expresión con la diversidad y la inclusión en la Universidad?,,,,,,,
ARTÍCULO 12.,¿Qué participación tienen los estudiantes en los organismos de dirección y asesoría de la Universidad de Antioquia?,¿Qué normas regulan la participación de los estudiantes en los organismos de la Universidad?,¿Por qué es importante la participación de los estudiantes en los organismos de la Universidad?,¿Qué beneficios aporta la participación de los estudiantes en los organismos de la Universidad?,¿Qué papel juegan los estudiantes en los consejos y comités de la Universidad?,¿Por qué es importante la representatividad estudiantil en los organismos de la Universidad?,¿Qué relación tiene la participación de los estudiantes en los organismos de la Universidad con la democracia y la transparencia institucional?,¿Cómo contribuye la participación de los estudiantes en los organismos de la Universidad al desarrollo de la institución?,,,,,,,,,
ARTÍCULO 13.,¿Qué principios rigen el acceso a la Universidad de Antioquia?,"¿Por qué no puede estar limitado el acceso a la Universidad por consideraciones de raza, credo, sexo o condición económica o social?",¿Qué requisitos deben cumplir los aspirantes para acceder a la Universidad?,¿Por qué es importante promover la igualdad de oportunidades en el acceso a la Universidad?,¿Qué beneficios aporta la igualdad de oportunidades en el acceso a la Universidad?,¿Qué significa demostrar poseer las capacidades requeridas para acceder a la Universidad?,¿Por qué es importante el mérito y la capacidad en el acceso a la Universidad?,¿Qué relación tiene el acceso a la Universidad con la igualdad de oportunidades y la equidad?,¿Cómo contribuye la igualdad de oportunidades en el acceso a la Universidad al desarrollo de la institución?,,,,,,,,
ARTÍCULO 14.,¿Qué promoverá constantemente la Universidad de Antioquia?,¿Por qué es importante la actualización de los programas académicos en la Universidad?,¿Qué beneficios aporta la actualización de los programas académicos en la Universidad?,¿Por qué es importante la vigilancia de los sistemas de evaluación en la Universidad?,¿Qué implica la vigilancia de los sistemas de evaluación en la Universidad?,¿Por qué es importante el perfeccionamiento docente en la Universidad?,¿Qué relación tiene el perfeccionamiento docente con la calidad académica en la Universidad?,¿Cómo contribuye la actualización de los programas académicos al desarrollo de la Universidad?,¿Qué relación tiene la vigilancia de los sistemas de evaluación con la equidad y la transparencia en la Universidad?,¿Por qué es importante la excelencia académica en la formación de los estudiantes en la Universidad?,,,,,,,
ARTÍCULO 15.,¿Qué programas desarrollará la Universidad de Antioquia?,¿Por qué es importante propiciar el contacto de los estudiantes con las diferentes expresiones culturales en la Universidad?,¿Qué beneficios aporta el contacto con las diferentes expresiones culturales en la Universidad?,¿Por qué es importante propiciar el contacto de los estudiantes con las diferentes expresiones artísticas en la Universidad?,¿Qué implica propiciar el contacto de los estudiantes con las diferentes expresiones deportivas en la Universidad?,¿Cómo contribuye el contacto con las diferentes expresiones culturales al desarrollo integral de los estudiantes en la Universidad?,¿Qué relación tiene el contacto con las diferentes expresiones artísticas con la creatividad y la innovación en la Universidad?,¿Por qué es importante fomentar la práctica deportiva en la Universidad?,"¿Qué papel juegan las expresiones culturales, artísticas y deportivas en la formación de los estudiantes en la Universidad?",¿Cómo contribuye el contacto con las diferentes expresiones culturales al fortalecimiento de la identidad institucional en la Universidad?,,,,,,,
ARTÍCULO 16.,¿En qué se fundamentará la permanencia en la Universidad de Antioquia?,¿Por qué es importante el rendimiento académico en la permanencia en la Universidad?,¿Qué implica el cumplimiento de principios éticos en la permanencia en la Universidad?,¿Por qué es importante el cumplimiento de principios éticos en la vida institucional de la Universidad?,¿Qué relación tiene el rendimiento académico con la calidad académica en la Universidad?,¿Cómo contribuye el cumplimiento de principios éticos al fortalecimiento de la vida institucional en la Universidad?,¿Qué beneficios aporta el cumplimiento de principios éticos en la vida institucional de la Universidad?,¿Por qué es importante promover la convivencia pacífica y el respeto mutuo en la Universidad?,¿Qué papel juegan los principios éticos en la formación de los estudiantes en la Universidad?,¿Cómo contribuye el rendimiento académico al desarrollo integral de los estudiantes en la Universidad?,,,,,,,
ARTÍCULO 17.,¿Qué regulará el régimen académico en la Universidad de Antioquia?,¿Por qué es importante regular las relaciones entre los estudiantes y la institución en el régimen académico?,¿Qué beneficios aporta el perfeccionamiento en la formación profesional del estudiante en la Universidad?,"¿Por qué es importante estimular el trabajo en los campos académico, cultural y deportivo en la Universidad?",¿Qué implica crear condiciones propicias para que cada estudiante avance al máximo en su campo?,¿Cuál es el objetivo principal del régimen académico en la Universidad?,¿Qué relación tiene el perfeccionamiento en la formación profesional con la competencia y la actualización en la Universidad?,¿Por qué es importante crear condiciones propicias para que cada estudiante avance al máximo en su campo?,"¿Cómo contribuye el estímulo al trabajo en los campos académico, cultural y deportivo al desarrollo integral de los estudiantes en la Universidad?",¿Qué papel juega el régimen académico en la formación de los estudiantes en la Universidad?,,,,,,,
ARTÍCULO 18.,¿Qué procuran las normas disciplinarias en la Universidad de Antioquia?,¿Por qué es importante prevenir conductas contrarias a la vida de la institución en la Universidad?,¿Qué implica preservar la normalidad de la institución en la Universidad?,¿Por qué es importante definir con precisión el régimen de sanciones en la Universidad?,¿Qué beneficios aporta la definición precisa del régimen de sanciones en la Universidad?,¿Por qué es importante establecer las causales de retiro de la Universidad en las normas disciplinarias?,¿Qué relación tiene la prevención de conductas contrarias a la vida de la institución con la convivencia pacífica en la Universidad?,¿Por qué es importante preservar la normalidad de la institución en la Universidad?,¿Cómo contribuye la definición precisa del régimen de sanciones al fortalecimiento de la vida institucional en la Universidad?,¿Qué papel juegan las normas disciplinarias en la convivencia pacífica y el respeto mutuo en la Universidad?,,,,,,,
ARTÍCULO 19.,¿Qué contiene el presente título del reglamento estudiantil y de las normas académicas en la Universidad de Antioquia?,¿Por qué es importante tomar como base los principios generales del reglamento estudiantil para su interpretación?,¿Qué relación tienen los principios generales del reglamento estudiantil con la ley y las demás disposiciones aplicables a los estudiantes?,¿Por qué es importante la calidad del estudiante en la Universidad?,¿Qué implica la calidad del estudiante en la Universidad?,¿Qué beneficios aporta la calidad del estudiante en la Universidad?,¿Por qué es importante promover la excelencia académica en la formación de los estudiantes en la Universidad?,¿Qué relación tiene la calidad del estudiante con la formación integral en la Universidad?,¿Cómo contribuye la calidad del estudiante al desarrollo personal y profesional en la Universidad?,¿Qué papel juega la calidad del estudiante en la contribución al bienestar de la sociedad en la Universidad?,,,,,,,
ARTÍCULO 20.,¿Qué es un estudiante de Pregrado en la Universidad de Antioquia?,¿Qué implica ser estudiante de Pregrado en la Universidad?,¿Qué es la movilidad estudiantil entrante en la Universidad?,¿Qué implica ser estudiante en condición de movilidad académica entrante en la Universidad?,¿Por qué es importante reglamentar la movilidad estudiantil nacional e internacional en los programas de pregrado?,¿Qué relación tiene la movilidad estudiantil con la internacionalización de la Universidad?,¿Cómo contribuye la movilidad estudiantil al desarrollo académico y personal de los estudiantes en la Universidad?,¿Qué papel juega la movilidad estudiantil en la promoción de la calidad académica en la Universidad?,¿Por qué es importante promover la movilidad estudiantil en los programas de pregrado en la Universidad?,¿Qué beneficios aporta la movilidad estudiantil en los programas de pregrado en la Universidad?,,,,,,,
ARTÍCULO 21.,¿Cómo se adquiere la calidad de estudiante en la Universidad de Antioquia?,¿Qué implica adquirir la calidad de estudiante en la Universidad?,¿Por qué es importante renovar la matrícula dentro de los plazos señalados por la Universidad?,¿Qué relación tiene la matrícula con el derecho a cursar el programa de formación previsto en la Universidad?,¿Por qué es importante cumplir con los plazos de renovación de la matrícula en la Universidad?,¿Qué implica perder la calidad de estudiante en la Universidad?,¿Por qué es importante cumplir con las causales de retiro establecidas en el reglamento estudiantil en la Universidad?,¿Qué beneficios aporta la renovación oportuna de la matrícula en la Universidad?,¿Por qué es importante cumplir con los requisitos académicos y administrativos en la Universidad?,¿Qué papel juega la matrícula en la permanencia y el progreso académico de los estudiantes en la Universidad?,,,,,,,
ARTÍCULO 22.,¿Cuándo se termina o se pierde la calidad de estudiante en la Universidad de Antioquia?,¿Por qué es importante completar el programa de formación previsto en la Universidad?,¿Qué implica no renovar la matrícula dentro de los plazos señalados por la institución en la Universidad?,¿Por qué es importante cumplir con los plazos de renovación de la matrícula en la Universidad?,¿Qué relación tiene la inasistencia o el bajo rendimiento académico con la pérdida del derecho a permanecer en la institución en la Universidad?,¿Por qué es importante cumplir con las obligaciones contraídas en la Universidad?,¿Qué implica la expulsión en la Universidad?,¿Por qué es importante considerar motivos graves de salud para la permanencia del alumno en la institución en la Universidad?,¿Qué relación tiene la salud del estudiante con su permanencia en la institución en la Universidad?,¿Por qué es importante completar el plan de cursos previsto para los estudiantes en condición de movilidad académica entrante en la Universidad?,,,,,,,
ARTÍCULO 23.,¿Qué es un programa académico en la Universidad de Antioquia?,"¿Qué implica la interrelación de profesores, alumnos y recursos instrumentales en un programa académico en la Universidad?",¿Por qué es importante la armonía en la integración de cursos y actividades en un programa académico en la Universidad?,¿Qué relación tiene la formación en determinadas áreas del conocimiento con la obtención de un título académico en la Universidad?,¿Por qué es importante la obtención de un título académico en la Universidad?,¿Qué implica el carácter temporal de la matrícula para los estudiantes en condición de movilidad académica entrante en la Universidad?,¿Por qué es importante considerar el carácter temporal de la matrícula para los estudiantes en condición de movilidad académica entrante en la Universidad?,¿Qué beneficios aporta la movilidad académica entrante en la Universidad?,¿Por qué es importante promover la movilidad académica entrante en la Universidad?,¿Qué papel juega la movilidad académica entrante en la formación de los estudiantes en la Universidad?,,,,,,,
ARTÍCULO 24.,¿Qué es un título académico en la Universidad de Antioquia?,¿Por qué es importante obtener un título académico en la Universidad?,¿Qué implica culminar un programa académico en la Universidad?,¿Por qué es importante que el programa académico sea aprobado por el gobierno nacional en la Universidad?,¿Qué relación tiene el título académico con la formación integral en la Universidad?,¿Por qué es importante promover la culminación de programas académicos en la Universidad?,¿Qué beneficios aporta la culminación de programas académicos en la Universidad?,¿Por qué es importante garantizar la calidad académica en la culminación de programas académicos en la Universidad?,¿Qué papel juega el título academico en el acceso a oportunidades laborales y académicas en la Universidad?,,,,,,,,
ARTÍCULO 25.,¿Qué es el título honoris causa en la Universidad de Antioquia?,¿Por qué es importante otorgar el título honoris causa en la Universidad?,"¿Qué implica sobresalir por los aportes a los diferentes saberes, a la cultura, al arte y a la sociedad en la Universidad?",¿Por qué es importante otorgar el título post mórtem en la Universidad?,¿Qué relación tiene el título honoris causa con el reconocimiento de los aportes a la sociedad en la Universidad?,"¿Por qué es importante reconocer los aportes a la cultura, al arte y a la sociedad en la Universidad?",¿Qué beneficios aporta el otorgamiento del título honoris causa en la Universidad?,¿Qué es el título post mórtem en la Universidad de Antioquia?,"¿Qué papel juega el título honoris causa en el reconocimiento de los aportes a la cultura, al arte y a la sociedad en la Universidad?",¿Por qué es importante reconocer los aportes a los diferentes saberes en la Universidad?,,,,,,,
ARTÍCULO 26.,¿Qué es un plan de estudios en la Universidad de Antioquia?,¿Por qué es importante contar con un plan de estudios en la Universidad?,¿Qué implica la asignación de unidades de labor académica en un plan de estudios en la Universidad?,¿Por qué es importante la relación armónica de prerrequisitos y correquisitos en un plan de estudios en la Universidad?,¿Qué relación tiene el plan de estudios con la aprobación del Consejo Académico en la Universidad?,¿Por qué es importante estructurar el plan de estudios por semestres académicos en la Universidad?,¿Qué beneficios aporta la estructuración del plan de estudios por semestres académicos en la Universidad?,¿Por qué es importante considerar los cursos de los Programas Regionalizados como destreza especial en la Universidad?,¿Qué implica la modalidad de cohortes en los Programas Regionalizados en la Universidad?,¿Por qué es importante promover la flexibilidad en el acceso a cursos de diversos planes de estudios para los estudiantes en condición de movilidad entrante en la Universidad?,,,,,,,
ARTÍCULO 27.,¿Qué es una unidad de labor académica (ULA) en la Universidad de Antioquia?,¿Por qué es importante contar con una medida del trabajo académico evaluable en la Universidad?,¿Qué implica la actividad teórica de la clase en una unidad de labor académica (ULA) en la Universidad?,¿Por qué es importante la práctica en una unidad de labor académica (ULA) en la Universidad?,¿Qué relación tiene la investigación con una unidad de labor académica (ULA) en la Universidad?,¿Por qué es importante el trabajo independiente del alumno en una unidad de labor académica (ULA) en la Universidad?,¿Qué beneficios aporta la medida del trabajo académico evaluable en la Universidad?,¿Por qué es importante evaluar el trabajo académico de los estudiantes en la Universidad?,¿Qué papel juega la medida del trabajo académico evaluable en la formación de los estudiantes en la Universidad?,,,,,,,,
ARTÍCULO 28.,¿Qué es una unidad de labor académica (ULA)?,¿A qué equivale una ULA en actividad teórica de enseñanza-aprendizaje?,¿Cuántas horas de actividad práctica supervisada por el docente equivalen a una ULA?,¿Qué tipos de actividades se consideran como actividad práctica supervisada?,¿Cómo se define una ULA en actividades académicas independientes?,¿Qué actividades se incluyen en las actividades académicas independientes?,¿Cómo se asignan las ULAs en cursos bajo la modalidad a distancia?,¿Cómo se interpreta que la unidad de labor académica (ULA) pueda obtenerse por la combinación de diferentes tipos de actividades académicas?,"¿Cuál es la diferencia en ULAs entre actividades teóricas, prácticas y académicas independientes?",¿Por qué son importantes la asesoría y evaluación del docente en las actividades académicas independientes?,,,,,,,
ARTÍCULO 29.,¿Qué implica la asignación de ULAs a un curso en la Universidad de Antioquia?,¿Por qué es importante la aprobación del Consejo Académico en la asignación de ULAs a un curso en la Universidad?,¿Qué relación tiene la asignación de ULAs con el plan de estudios en la Universidad?,¿Por qué es importante considerar el concepto del Consejo de Facultad en la asignación de ULAs a un curso en la Universidad?,¿Qué implica la modificación de las ULAs en un curso en la Universidad?,¿Por qué es importante considerar el concepto del Comité Central de Currículum en la modificación de las ULAs de cursos de servicio en la Universidad?,¿Qué beneficios aporta la asignación de ULAs a un curso en la Universidad?,¿Por qué es importante definir las ULAs de un curso por el Consejo de la Unidad Académica que lo administra en la Universidad?,¿Qué papel juega el Consejo de Facultad en la asignación de ULAs a un curso en la Universidad?,¿Por qué es importante considerar el concepto del Consejo Académico en la asignación de ULAs a un curso en la Universidad?,,,,,,,
ARTÍCULO 30.,¿Qué es la medida ULA-semana en la Universidad de Antioquia?,¿Por qué es importante utilizar la medida ULA-semana en la definición de la carga académica del estudiante en la Universidad?,¿Qué implica la carga académica del estudiante en la medida ULA-semana?,¿Por qué es importante considerar la semana como unidad de tiempo en la carga académica del estudiante en la Universidad?,¿Qué relación tiene la medida ULA-semana con la planificación y la gestión de la carga académica del estudiante en la Universidad?,"¿Por qué es importante valorar el trabajo académico, la dedicación y el desempeño de los estudiantes en la Universidad?",¿Qué beneficios aporta la medida ULA-semana en la definición de la carga académica del estudiante en la Universidad?,"¿Por qué es importante organizar y plan de estudiosificar eficientemente las actividades de aprendizaje, investigación y trabajo independiente del estudiante en la Universidad?",¿Qué papel juega la medida ULA-semana en la evaluación y la retroalimentación de los estudiantes en la Universidad?,,,,,,,,
ARTÍCULO 31.,¿Qué son las ULAS en el contexto de la educación superior?,¿Cómo se calculan las ULAS para la obtención de títulos?,¿Qué significa multiplicar por el factor dieciséis las ULAS semana?,¿Qué son las ULAS semana acumuladas?,¿Por qué se utiliza el factor dieciséis en el cálculo de las ULAS?,¿Cómo afecta este cálculo a los estudiantes?,¿Qué establece el artículo sobre las ULAS y los títulos de educación superior?,¿Cómo se relacionan las ULAS con las normas legales?,¿Cuál es el propósito de multiplicar por 16 las ULAS semana acumuladas por el estudiante al finalizar cada período académico?,¿Qué sucede al finalizar cada período académico con las ULAS?,,,,,,,
ARTÍCULO 32.,¿Cómo se convierten los créditos utilizados en reglamentos anteriores a ULAs?,¿Qué debe hacerse para convertir los créditos a ULAs?,¿Cuál es el factor utilizado para convertir créditos a ULAs?,¿Por qué es necesario convertir los créditos anteriores a ULAs?,¿A qué se refiere la conversión de créditos a ULAs?,¿Cómo afecta la conversión a ULAs a los créditos de reglamentos anteriores?,¿Quién establece el factor de conversión de créditos a ULAs?,¿Es obligatorio convertir los créditos a ULAs?,¿Qué propósito tiene la conversión de créditos a ULAs?,¿Cómo se aplican las normas para convertir créditos a ULAs?,,,,,,,
ARTÍCULO 33.,¿Qué establece la normativa sobre la adaptación de los programas de educación superior al sistema de ULA?,¿Qué sucede si los programas no se adaptan al sistema de ULA para la fecha establecida?,¿Por qué es importante adaptar los programas al sistema de ULA en la Universidad?,¿Qué deben hacer los programas de educación superior en relación con el sistema de ULA?,¿Qué implica la adaptación de los programas al sistema de ULA en la Universidad?,¿Por qué es importante emplear el sistema de ULA en los programas de educación superior en la Universidad?,¿Qué beneficios aporta la adaptación de los programas al sistema de ULA en la Universidad?,¿Qué papel juega el sistema de ULA en la estandarización de las unidades de medida del trabajo académico en la Universidad?,¿Por qué es importante cumplir con la fecha establecida para la adaptación de los programas al sistema de ULA en la Universidad?,,,,,,,,
ARTÍCULO 34.,¿Qué establece el artículo sobre la inclusión de tesis en el plan de estudios de Pregrado en la Universidad?,¿Qué implica la inclusión de tesis en un programa de Pregrado en la Universidad?,¿Por qué es importante determinar taxativamente la inclusión de tesis en un programa de Pregrado?,¿Qué beneficios aporta la inclusión de tesis en un programa de Pregrado en la Universidad?,¿Qué papel juega la tesis en la formación académica de los estudiantes en la Universidad?,¿Por qué es importante cumplir con la normativa legal en la inclusión de tesis en un programa de Pregrado?,¿Qué implica la realización de una tesis en un programa de Pregrado en la Universidad?,¿Por qué es importante la realización de una tesis en un programa de Pregrado en la Universidad?,¿Qué requisitos deben cumplir los programas de Pregrado para incluir tesis en su plan de estudios en la Universidad?,¿Qué aporta la realización de una tesis a la formación académica de los estudiantes en la Universidad?,,,,,,,
ARTÍCULO 35.,¿Qué son los cursos obligatorios en un plan de estudios en la Universidad de Antioquia?,¿Por qué son importantes los cursos obligatorios en un plan de estudios en la Universidad?,¿Qué implica la definición de cursos obligatorios en un plan de estudios en la Universidad?,¿Por qué no pueden ser sustituidos los cursos obligatorios sin autorización del Consejo Académico?,¿Qué beneficios aportan los cursos obligatorios en un plan de estudios en la Universidad?,¿Qué papel juegan los cursos obligatorios en la formación integral de los estudiantes en la Universidad?,¿Por qué es importante la autorización del Consejo Académico para sustituir cursos obligatorios en un plan de estudios?,¿Qué requisitos deben cumplir los cursos obligatorios en un plan de estudios en la Universidad?,¿Qué implica la autorización del Consejo Académico para sustituir cursos obligatorios en un plan de estudios en la Universidad?,¿Qué sucede si un estudiante no cumple con los cursos obligatorios en un plan de estudios en la Universidad?,,,,,,,
ARTÍCULO 36.,¿Qué son los cursos electivos en un plan de estudios en la Universidad de Antioquia?,¿Por qué son importantes los cursos electivos en un plan de estudios en la Universidad?,¿Qué implica la selección de cursos electivos en un plan de estudios en la Universidad?,¿Por qué es importante ofrecer diferentes opciones de cursos electivos en la Universidad?,¿Qué beneficios aportan los cursos electivos en un plan de estudios en la Universidad?,¿Qué papel juegan los cursos electivos en la formación integral de los estudiantes en la Universidad?,¿Por qué es importante la elección libre de cursos electivos en un plan de estudios en la Universidad?,¿Qué requisitos deben cumplir los cursos electivos en un plan de estudios en la Universidad?,¿Qué implica la formación académica complementaria en los cursos electivos en la Universidad?,¿Qué sucede si un estudiante no cumple con los cursos electivos en un plan de estudios en la Universidad?,,,,,,,
ARTÍCULO 37.,¿Qué es un curso básico en un programa académico en la Universidad de Antioquia?,¿Por qué son importantes los cursos básicos en un programa académico en la Universidad?,¿Qué implica la obtención de fundamentos necesarios en un curso básico en un programa académico?,¿Por qué es importante definir los cursos básicos en un programa académico en la Universidad?,¿Qué beneficios aportan los cursos básicos en un programa académico en la Universidad?,¿Qué papel juegan los cursos básicos en la formación integral de los estudiantes en la Universidad?,¿Por qué es importante la secuencia y la progresión de los cursos básicos en un programa académico en la Universidad?,¿Qué requisitos deben cumplir los cursos básicos en un programa académico en la Universidad?,¿Qué implica la preparación para cursos profesionales en los cursos básicos en la Universidad?,¿Qué sucede si un estudiante no cumple con los cursos básicos en un programa académico en la Universidad?,,,,,,,
